file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.6,1e-05,4.0,2.0,50,4000,46000,0,cuda,0.75,0.5,0.726,0.9068,2.3727,0.32558971643447876,0.4748,3.995359909254509,0.5609130859375,0.45483994483947754,0.8575,3.7976,5.995359909254509,0.001,0.749,0.54,0.8997,4.6614,270.4944571102571,25.0,3001,True,True,True,True,True,0.46000000834465027,0.6399999856948853,0.18,0.08,0.0852,True,True,22,31,26,0.15070000000000006,0.2997000000000001,0.14970000000000006,0.4444444444444445
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.6,1e-05,4.0,2.0,50,4000,46000,1,cuda,0.75,0.5,0.7249,0.9047,2.386,0.34080302715301514,0.4769,3.995359909254509,0.5609130859375,0.4390140175819397,0.8475,3.6705,5.995359909254509,0.001,0.749,0.52,0.8921,4.4522,270.4944571102571,25.0,3001,True,True,True,True,True,0.4399999976158142,0.6200000047683716,0.18,0.08,0.081,True,True,21,30,25,0.1431,0.2921,0.1421,0.4444444444444445
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.25,0.6,1e-05,4.0,2.0,50,4000,46000,2,cuda,0.75,0.5,0.7289,0.9024,2.3349,0.3277021050453186,0.4761,3.995359909254509,0.5609130859375,0.43578964471817017,0.8443,3.6339,5.995359909254509,0.001,0.749,0.52,0.8894,4.4338,270.4944571102571,25.0,3001,True,True,True,True,True,0.4399999976158142,0.6200000047683716,0.18,0.08,0.0842,True,True,21,30,25,0.14039999999999997,0.2894,0.13939999999999997,0.4444444444444445
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,4000,46000,0,cuda,0.85,0.5,0.7283,0.926,2.8495,0.38235539197921753,0.4748,3.995359909254509,0.5609130859375,0.5784289836883545,0.9122,4.9954,5.995359909254509,0.001,0.849,0.74,0.9584,6.8712,270.4944571102571,25.0,3401,True,True,True,True,True,0.5799999833106995,0.9399999976158142,0.36,0.16,0.1616,True,True,28,46,36,0.10940000000000005,0.35840000000000005,0.10840000000000005,0.4444444444444445
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,4000,46000,1,cuda,0.85,0.5,0.725,0.9188,2.8439,0.39614593982696533,0.4769,3.995359909254509,0.5609130859375,0.5640759468078613,0.9089,4.8617,5.995359909254509,0.001,0.849,0.64,0.9386,5.7201,270.4944571102571,25.0,3401,True,True,True,True,True,0.5799999833106995,0.9399999976158142,0.36,0.06,0.0759,True,True,28,46,31,0.08960000000000001,0.3386,0.08860000000000001,0.16666666666666666
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,4000,46000,2,cuda,0.85,0.5,0.7284,0.9242,2.9089,0.3991483151912689,0.4761,3.995359909254509,0.5609130859375,0.5524051189422607,0.902,4.7541,5.995359909254509,0.001,0.849,0.68,0.9441,6.0711,270.4944571102571,25.0,3401,True,True,True,True,True,0.5600000023841858,0.9399999976158142,0.38,0.12,0.1276,True,True,27,46,33,0.09510000000000007,0.3441000000000001,0.09410000000000007,0.3157894736842105
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.6,1e-05,4.0,4.0,50,1000,49000,0,cuda,0.55,0.5,0.7169,0.8712,1.8699,0.2739622890949249,0.4815,3.991399689840786,0.5572509765625,0.3085463345050812,0.7583,2.5506,7.991399689840787,0.001,0.549,0.42,0.8422,3.4916,135.24722855512854,12.5,551,False,True,True,False,True,0.3199999928474426,0.5799999833106995,0.26,0.1,0.1115,True,True,15,28,20,0.2931999999999999,0.24219999999999997,0.2921999999999999,0.38461538461538464
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.6,1e-05,4.0,4.0,50,1000,49000,1,cuda,0.55,0.5,0.7324,0.8667,1.8432,0.2719404995441437,0.481,3.991399689840786,0.5572509765625,0.3057022988796234,0.7527,2.4893,7.991399689840787,0.001,0.549,0.38,0.8027,3.0492,135.24722855512854,12.5,551,False,True,True,False,True,0.3199999928474426,0.5199999809265137,0.2,0.06,0.0743,True,True,15,25,18,0.2536999999999999,0.2027,0.2526999999999999,0.3
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.44999999999999996,0.6,1e-05,4.0,4.0,50,1000,49000,2,cuda,0.55,0.5,0.7239,0.8724,1.8744,0.27643439173698425,0.4768,3.991399689840786,0.5572509765625,0.3017149567604065,0.7496,2.4811,7.991399689840787,0.001,0.549,0.4,0.821,3.2827,135.24722855512854,12.5,551,False,True,True,False,True,0.3199999928474426,0.5199999809265137,0.2,0.08,0.0983,True,True,15,25,19,0.2719999999999999,0.22099999999999997,0.2709999999999999,0.39999999999999997
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.6,1e-05,4.0,4.0,50,1000,49000,0,cuda,0.65,0.5,0.7183,0.8934,2.1238,0.3089022934436798,0.4815,3.991399689840786,0.5572509765625,0.380621075630188,0.8085,3.0789,7.991399689840787,0.001,0.649,0.52,0.8939,4.4346,135.24722855512854,12.5,651,True,True,True,True,True,0.4000000059604645,0.7799999713897705,0.38,0.12,0.1394,True,True,19,38,25,0.2449,0.29390000000000005,0.2439,0.3157894736842105
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.35,0.6,1e-05,4.0,4.0,50,1000,49000,1,cuda,0.65,0.5,0.7324,0.889,2.1264,0.30723458528518677,0.481,3.991399689840786,0.5572509765625,0.35893502831459045,0.7863,2.8691,7.991399689840787,0.001,0.649,0.5,0.8775,4.1752,135.24722855512854,12.5,651,True,True,True,True,True,0.36000001430511475,0.699999988079071,0.34,0.14,0.1411,True,True,17,34,24,0.22849999999999993,0.27749999999999997,0.22749999999999992,0.411764705882353
